"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-004-T1",0.00703299,0.00703299,0.00703299,184.257308939068,7.17670336323142,25.6743660164468,424.207650901777,378.073010276063,374.272041709189,425.254202603579,378.624995274473,374.201725164719
"SAMPLE-005-T1",0.00703299,0.00703299,0.00703299,74.001471081154,2.38462961541398,31.0326897740499,257.355425325866,251.215613451231,172.089347804934,257.702103248429,251.026195715228,172.629585976664
"SAMPLE-008-T1",0.00703299,0.00703299,0.00703299,73.4817951982562,4.82317423800384,15.2351525307259,223.556621133305,207.606295852245,257.147496545022,223.558921642459,207.341728594411,257.378986419978
"SAMPLE-009-T1",0.00703299,0.00703299,0.00703299,194.070267942003,12.8863208864595,15.0601765742095,278.019929683253,259.291546921465,417.196009538907,278.0377375566,258.806935848147,418.425457907744
"SAMPLE-011-T1",0.00703299,0.00703299,0.00703299,160.142228641383,10.590267938382,15.1216408851171,235.181919993667,316.160778163362,357.126380889641,235.258786552452,315.855679393977,357.193942326514
"SAMPLE-012-T1",0.00703299,0.00703299,0.00703299,178.551639868516,16.496474428447,10.8236242018244,290.914978595896,294.045370676864,336.747264458332,290.573703038847,293.75641287557,337.4089374838
"SAMPLE-013-T1",0.00703299,0.00703299,0.00703299,165.16719520489,11.7591651922577,14.0458265960613,265.011746645581,279.376620846309,488.587483951544,264.976449444462,279.120641464082,489.052099507197
"SAMPLE-014-T1",0.00703299,0.00703299,0.00703299,86.1109232981017,7.08475094192106,12.1544037333163,236.865325922007,233.103207629049,252.813636989905,237.067008120896,233.174019753144,253.108017393714
"SAMPLE-015-T1",0.00703299,0.00703299,0.00703299,53.2553150865492,2.19302705186034,24.2839298500093,167.654477322979,161.374234408552,172.652921354677,167.659232264891,161.236980841516,173.121103314646
"SAMPLE-018-T1",0.00703311,0.00703311,0.00703311,62.3826701953071,4.03635949414122,15.4551818998916,211.898123352818,202.040594294591,205.133509601553,211.899727328117,201.925366151148,205.447475766681
"SAMPLE-019-T1",0.00703299,0.00703299,0.00703299,136.196567151677,9.55053119209949,14.2606274365496,293.217473625088,278.453199701903,301.803959587851,293.37325526873,278.420283759936,302.128727175332
"SAMPLE-021-T1",0.00703299,0.00703299,0.00703299,156.874416473539,8.67063590945662,18.0926079830482,261.869661442651,288.79896615245,313.965864824044,262.046048477689,289.155545853956,313.955452819637
"SAMPLE-022-T1",0.00703299,0.00703299,0.00703299,153.96924382362,14.5418826126961,10.5879856084929,324.609182968304,260.289499890245,347.06227413946,324.811557961636,259.733621285733,347.53429427519
"SAMPLE-023-T1",0.00703299,0.00703299,0.00703299,188.99497758825,14.4546449063082,13.0750342753678,292.466675542384,349.892894826667,281.476818312204,291.965833037726,350.799473538912,282.683303283264
"SAMPLE-024-T1",0.00703299,0.00703299,0.00703299,192.39999617562,17.2618128877323,11.1459901359698,337.19978693742,363.961425685387,299.690558706254,337.229844465504,363.873054138394,300.19144427283
"SAMPLE-025-T1",0.00703299,0.00703299,0.00703299,121.298202744905,11.6222968754315,10.4366808080181,301.507959930024,439.682835017772,255.659354348876,301.039254970267,439.963061801756,254.89312255847
"SAMPLE-028-T1",0.00703299,0.00703299,0.00703299,410.830892224164,22.1446388970075,18.5521603732125,395.488690882972,430.088285569255,442.699166350874,394.973304409531,430.737041744203,442.184835983912
"SAMPLE-029-T1",0.00703299,0.00703299,0.00703299,250.497967759671,9.54702602958502,26.238324582274,292.661957545324,398.733178681684,458.008454475587,291.168108104457,399.583698597671,459.321568810249
"SAMPLE-030-T1",0.00703299,0.00703299,0.00703299,179.556099913106,9.43158700176771,19.0377398712913,379.921602454924,344.74968557514,260.478032823672,381.212853388024,345.165660138294,260.861124136173
"SAMPLE-031-T1",0.00703299,0.00703299,0.00703299,166.732360775187,7.92436607693096,21.0404667271203,223.557666496719,345.799131351243,307.953113845517,223.229846790416,345.027683591502,307.717527672035
"SAMPLE-032-T1",0.00703299,0.00703299,0.00703299,322.559984420395,28.0077179036733,11.516824952671,342.396743611568,347.314120719504,445.785652251958,342.13574315755,347.429685502159,445.056665455146
"SAMPLE-033-T1",0.00703299,0.00703299,0.00703299,331.05817345533,23.4337465968275,14.1274111712102,441.086272684692,375.429918135533,484.146532829096,441.677332933691,375.249388311654,483.369760492389
"SAMPLE-034-T1",0.00703311,0.00703311,0.00703311,108.147954003778,9.96303237782783,10.8549234713375,220.356247479567,260.72079013949,307.290748094947,220.046145903174,261.237243715551,307.899728496583
"SAMPLE-035-T1",0.00703299,0.00703299,0.00703299,224.957234702754,24.6398501976238,9.12981340789355,378.408794595814,360.017962552492,419.045635661229,378.806914021819,360.357954211219,417.962673570879
"SAMPLE-038-T1",0.00703299,0.00703299,0.00703299,296.222753033865,12.6598235882231,23.3986477749523,440.314644492651,404.813075404047,377.508577111902,440.109309019146,404.546962574925,378.010829881817
"SAMPLE-039-T1",0.00703299,0.00703299,0.00703299,114.839160876171,5.75108426368922,19.9682626111453,405.083505154951,305.354916310114,197.900562932925,407.208757647103,304.921164365421,198.475151692984
"SAMPLE-041-T1",0.00703299,0.00703299,0.00703299,90.8242012083507,3.75973972665477,24.1570448519216,281.423424741289,195.805189431496,327.372312545777,281.717382720954,194.916105860045,327.821806723123
"SAMPLE-042-T1",0.00703299,0.00703299,0.00703299,234.486574740868,11.8726060408885,19.7502194491514,327.206758254721,358.676915418693,475.276634820228,327.996292832506,357.328114213383,476.813951183418
"SAMPLE-043-T1",0.00703299,0.00703299,0.00703299,187.496364998722,11.259038752947,16.6529638198151,309.925644758257,343.560135885748,377.72607994488,309.800625002662,344.150110375547,378.484650153394
"SAMPLE-044-T1",0.00703299,0.00703299,0.00703299,214.415881032317,16.2628262647236,13.1844168745389,363.897489268204,381.329198463689,357.040362337928,364.011876900712,381.367862474708,357.670722212397
"SAMPLE-045-T1",0.00703299,0.00703299,0.00703299,285.079864697636,16.4929570903978,17.2849455155382,358.706107637276,335.343047308747,489.820223249758,358.61634316937,334.37838106065,490.341178681731
"SAMPLE-048-T1",0.00703299,0.00703299,0.00703299,87.1816992494594,6.49094489472952,13.4312801392365,267.139412007547,224.893918054796,292.838444768233,267.379404099522,224.363661110764,293.767918014356
"SAMPLE-049-T1",0.00703299,0.00703299,0.00703299,163.367801712059,9.75414683396913,16.7485485396966,310.856766667605,257.503541066106,337.408944052621,310.625467396062,257.758825455089,336.717884689264
"SAMPLE-092-T1",0.00703299,0.00703299,0.00703299,191.39539825859,12.8866040546102,14.8522758554158,278.021831305063,259.289373392522,417.191260718455,278.039453002229,258.805034946569,418.421409595627
"SAMPLE-001-T0",0.00703299,0.00703299,0.00703299,285.209845835134,10.8538407835087,26.2773198468583,368.276927399813,302.069931106533,451.071364378598,369.015738055274,301.536017891113,455.532263546604
"SAMPLE-002-T0",0.00703299,0.00703299,0.00703299,235.680150609319,11.1399164519356,21.1563660846279,342.057512486184,319.673624489952,361.519691163169,342.723649603702,318.830629166031,361.868445722776
"SAMPLE-003-T0",0.00703299,0.00703299,0.00703299,221.712323702365,14.9834262926853,14.7971711791048,361.204323367226,312.83969831824,304.742726166304,361.996569204042,313.009398825732,304.775020255083
